id,requirement,atomicity,clarity,completion,Final decision
Prj-3 - PR-095,"The Disputes System must provide the ability to view existing dispute cases, etc.",PASS,PASS,PASS,PASS
Prj-3 - PR-090,"The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number, the type of retrieval requested (copy, original or portfolio), and the date that the merchant response is due. Additionally, when error occurs, shall retry and notify administrator.",FAIL,PASS,PASS,FAIL
Prj-6 - PR-349,All updates to data files or database must be initiated from the Disputes System.' It should handle this appropriately when needed.,PASS,FAIL,PASS,FLAG
Prj-6 - PR-301,The system shall be able to complete a set of tasks in a timely manner.',PASS,FLAG,FAIL,FLAG
Prj-2 - PR-047,The system shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,PASS,FLAG,PASS,FLAG
Prj-3 - PR-082,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,PASS,PASS,FAIL,FLAG
Prj-12 - PR-571,The product shall be platform independent.The product shall enable access to any type of development environment and platform.',PASS,PASS,PASS,PASS
Prj-9 - PR-474,While streaming a movie buffering should only occur if there is latency in the user's connection.',PASS,PASS,PASS,PASS
Prj-6 - PR-345,All additions of new users and modifications to user's access should ideally be recorded on the User Report.',PASS,FAIL,PASS,FLAG
Prj-15 - PR-617,The RFS system should be able to easily interface with the BDW environment in order to load the data. 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.' and shall also provide backup functionality.,FAIL,FLAG,PASS,FAIL
Prj-8 - PR-390,The product must comply with Sarbanes-Oxley.' This must work as expected in normal conditions.,PASS,FAIL,PASS,FLAG
Prj-1 - PR-028,The realtor shall be notified of new client appointments after automatic synchronization with office system The system shall also log all transactions and send notifications.,FAIL,PASS,PASS,FAIL
Prj-4 - PR-167,The system shall allow generation of Inventory Quantity Adjustment documents on demand.,PASS,PASS,FAIL,FLAG
Prj-3 - PR-072,The system shall perform operations.,PASS,FLAG,FAIL,FLAG
Prj-3 - PR-074,"Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts, including cohort identifier, program of study, preferred sequence of classes and quarters that a cohort will be taking specific classes.",PASS,PASS,PASS,PASS
Prj-2 - PR-068,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,PASS,PASS,PASS,PASS
Prj-9 - PR-471,The system shall have a maximum response time of 5 seconds unless noted by an exception below.',PASS,PASS,FAIL,FLAG
Prj-5 - PR-225,"Once a game is initiated, the product shall display a defensive grid to each player",PASS,PASS,PASS,PASS
Prj-4 - PR-164,The product should ideally have a customizable Look and Feel.,PASS,FAIL,PASS,FLAG
